symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 11:48:00+00:00,236.8,236.94,236.75,236.86,5473.0,111.0,236.813784
TSLA,2023-08-14 11:49:00+00:00,236.9,237.0,236.88,237.0,8974.0,189.0,236.950053
TSLA,2023-08-14 11:50:00+00:00,237.07,237.07,236.85,236.85,4242.0,130.0,236.968942
TSLA,2023-08-14 11:51:00+00:00,236.87,236.9,236.87,236.9,2205.0,70.0,236.906308
TSLA,2023-08-14 11:52:00+00:00,236.95,237.0,236.9,236.96,7163.0,163.0,236.953124
TSLA,2023-08-14 11:53:00+00:00,236.94,236.95,236.92,236.92,2326.0,87.0,236.940602
TSLA,2023-08-14 11:54:00+00:00,236.95,237.07,236.95,237.05,5541.0,137.0,237.010249
TSLA,2023-08-14 11:55:00+00:00,237.0,237.15,236.97,237.15,4502.0,139.0,237.052899
TSLA,2023-08-14 11:56:00+00:00,237.15,237.15,237.07,237.07,2067.0,73.0,237.123851
TSLA,2023-08-14 11:57:00+00:00,237.15,237.2,237.05,237.05,9538.0,206.0,237.115802
TSLA,2023-08-14 11:58:00+00:00,237.04,237.04,236.9,236.9,8155.0,194.0,236.9794
TSLA,2023-08-14 11:59:00+00:00,236.9,236.91,236.8,236.9,6474.0,196.0,236.872417
TSLA,2023-08-14 12:00:00+00:00,239.135,240.5,236.65,236.88,322127.0,3834.0,237.632239
TSLA,2023-08-14 12:01:00+00:00,236.84,239.5,236.8,236.97,20316.0,1252.0,237.021704
TSLA,2023-08-14 12:02:00+00:00,236.9561,239.0,236.9,236.9,7027.0,213.0,237.231256
TSLA,2023-08-14 12:03:00+00:00,236.94,237.0,236.9,237.0,7665.0,204.0,236.92713
TSLA,2023-08-14 12:04:00+00:00,236.99,237.0,236.93,236.94,10277.0,246.0,236.972775
TSLA,2023-08-14 12:05:00+00:00,236.9,236.95,236.86,236.91,6885.0,198.0,236.905569
TSLA,2023-08-14 12:06:00+00:00,236.88,236.98,236.88,236.92,9087.0,192.0,236.925528
TSLA,2023-08-14 12:07:00+00:00,236.86,236.94,236.82,236.84,7367.0,220.0,236.866283
TSLA,2023-08-14 12:08:00+00:00,236.88,236.94,236.86,236.88,7080.0,181.0,236.904172
TSLA,2023-08-14 12:09:00+00:00,236.85,236.85,236.61,236.65,13650.0,426.0,236.726942
