ROI,Dev Factor,Rsi period,Rsi low,Rsi high,Bollinger Period,Gain value
score,pfast,pslow,high_low_period,high_low_error,gain_value
0.005118999999999926,5,23,17,0.4,1.0
0.01576250000000008,5,23,17,0.4,1.5
0.005118999999999926,5,23,17,0.5,1.0
0.01576250000000008,5,23,17,0.5,1.5
0.005118999999999926,5,23,17,0.6,1.0
0.01576250000000008,5,23,17,0.6,1.5
0.005198999999999875,5,23,17,0.7,1.0
0.01576250000000008,5,23,17,0.7,1.5
0.005198999999999875,5,23,17,0.8,1.0
0.01576250000000008,5,23,17,0.8,1.5
0.005198999999999875,5,23,17,0.9,1.0
0.01576250000000008,5,23,17,0.9,1.5
0.0,5,26,17,0.1,1.0
0.0,5,26,17,0.1,1.5
0.0018647500000000335,5,26,17,0.2,1.0
0.008908250000000085,5,26,17,0.2,1.5
0.0018647500000000335,5,26,17,0.3,1.0
0.0038227499999999464,5,26,17,0.3,1.5
0.009293750000000024,5,26,17,0.4,1.0
0.011251749999999937,5,26,17,0.4,1.5
0.008790747499999894,5,26,17,0.5,1.0
0.010748747499999807,5,26,17,0.5,1.5
0.008790747499999894,5,26,17,0.6,1.0
0.010748747499999807,5,26,17,0.6,1.5
0.008790747499999894,5,26,17,0.7,1.0
0.010748747499999807,5,26,17,0.7,1.5
0.008790747499999894,5,26,17,0.8,1.0
0.010748747499999807,5,26,17,0.8,1.5
0.008790747499999894,5,26,17,0.9,1.0
0.010748747499999807,5,26,17,0.9,1.5
0.004993999999999994,5,29,17,0.1,1.0
0.004993999999999994,5,29,17,0.1,1.5
0.0008987499999999087,5,29,17,0.2,1.0
0.003998749999999931,5,29,17,0.2,1.5
0.0011237499999999883,5,29,17,0.3,1.0
0.003998749999999931,5,29,17,0.3,1.5
0.0011237499999999883,5,29,17,0.4,1.0
0.003998749999999931,5,29,17,0.4,1.5
0.008261497499999928,5,29,17,0.5,1.0
0.015136497499999927,5,29,17,0.5,1.5
0.008261497499999928,5,29,17,0.6,1.0
0.015136497499999927,5,29,17,0.6,1.5
0.008261497499999928,5,29,17,0.7,1.0
0.015136497499999927,5,29,17,0.7,1.5
0.008261497499999928,5,29,17,0.8,1.0
0.015136497499999927,5,29,17,0.8,1.5
0.008261497499999928,5,29,17,0.9,1.0
0.015136497499999927,5,29,17,0.9,1.5
0.0022002500000000056,8,14,17,0.1,1.0
0.0031752499999999715,8,14,17,0.1,1.5
0.010890500000000069,8,14,17,0.2,1.0
0.01839050000000007,8,14,17,0.2,1.5
0.010890500000000069,8,14,17,0.3,1.0
0.012850749999999954,8,14,17,0.3,1.5
0.007908880000000108,8,14,17,0.4,1.0
0.012050749999999973,8,14,17,0.4,1.5
0.007401379999999992,8,14,17,0.5,1.0
0.010543249999999914,8,14,17,0.5,1.5
0.007103879999999981,8,14,17,0.6,1.0
0.009753879999999987,8,14,17,0.6,1.5
0.008038380000000135,8,14,17,0.7,1.0
0.011345000000000084,8,14,17,0.7,1.5
0.008038380000000135,8,14,17,0.8,1.0
0.011345000000000084,8,14,17,0.8,1.5
0.008038380000000135,8,14,17,0.9,1.0
0.011345000000000084,8,14,17,0.9,1.5
0.00025012500000005743,8,17,17,0.1,1.0
0.010400625000000078,8,17,17,0.1,1.5
0.001574000000000006,8,17,17,0.2,1.0
