Roi,Fast Period,Slow Period,devfactor
0.0711666666666666,149,162,1.5
0.08025,149,165,1.5
0.0944,149,166,1.5
0.0958,149,167,1.5
0.0874,149,169,1.5
0.0805999999999999,149,170,1.5
0.0818,149,171,1.5
0.0812,102,103,2.0
0.0828333333333333,102,105,1.5
0.0776666666666666,102,108,2.0
0.091,102,111,2.0
0.0743333333333333,102,122,2.0
0.086,102,123,2.0
0.0716666666666666,103,125,2.0
0.0794999999999999,102,155,2.0
0.0826666666666666,103,108,2.0
0.08,103,159,1.5
0.0706,103,105,2.0
0.0839999999999999,103,110,2.0
0.0756666666666666,103,111,2.0
0.095,103,112,2.0
0.0806666666666666,103,113,2.0
0.0726666666666666,103,122,2.0
0.0703333333333333,103,123,2.0
0.0789999999999999,103,151,2.0
0.0803333333333333,103,160,1.5
0.071,103,161,1.5
0.081,106,110,2.0
0.077,105,154,2.0
0.07325,104,105,2.0
0.0765,104,107,1.5
0.0755,104,107,2.0
0.099,105,109,2.0
0.0766666666666666,105,176,1.5
0.072,106,177,2.0
0.07525,104,133,1.5
0.0784999999999999,104,150,2.0
0.0794999999999999,104,152,2.0
0.092,104,155,2.0
0.093,104,157,2.0
0.0824999999999999,105,165,2.0
0.07675,104,160,1.5
0.0705,106,173,2.0
0.0763333333333333,104,176,1.5
0.071,106,173,1.5
0.0746666666666666,105,111,1.5
0.0789999999999999,105,156,2.0
0.0765,105,158,1.5
0.074,105,160,1.5
0.0713333333333333,105,174,1.5
0.0829999999999999,106,175,2.0
0.0865,106,109,2.0
0.0733333333333333,106,125,2.0
0.0799999999999999,106,150,2.0
0.0863333333333333,106,158,2.0
0.087,106,159,2.0
0.0866666666666666,106,160,2.0
0.0723333333333333,106,177,1.5
0.0746666666666666,107,142,1.5
0.093,108,149,2.0
0.0794999999999999,109,149,2.0
0.087,109,159,2.0
0.0723999999999999,107,170,1.5
0.0715,108,176,1.5
0.0804999999999999,109,152,2.0
0.0846,108,133,1.5
0.0836666666666666,108,133,2.0
0.07525,109,145,1.5
0.0753333333333333,108,137,1.5
0.0756666666666666,110,124,2.0
0.0743333333333333,108,144,1.5
0.0799999999999999,109,151,2.0
0.0876666666666666,108,158,2.0
0.0852,108,168,1.5
0.0886666666666666,108,167,2.0
0.089,108,170,2.0
